OLD_CNAME,NEW_CNAME
EMP-1037-Online (REV 0.2),EMP-1036
EMP-1037-Online,EMP-1036
SECU-2008-Online,SECU-2029
EMP-1037-ONLINE (REV 0),EMP-1036
SECU-2008-Online (REV 1.4),SECU-2029
