ID,NAME,VERSION,DESCRIPTION,DOMAIN,AVAILABLE_FROM,STATUS,DISPLAY_TO_LEARNER,TARGET_DAYS,EXPIRY_TYPE,EXPIRE_IN_DAYS,NOTIFY_BEFORE_DAYS,ENFORCE_TARGET_DATE,ONE_CLICK_REG,PATH_NAME,MODULE_NAME,NO_OF_MODULE_ELEMENTS,MODULE_REQUIRED,COURSE_ELEMENT,COURSE_VERSION,ELEMENT_SEQUENCE,EXPIRES_IN_DAYS,IS_RECERT_PATH,PAST_CREDIT_DAYS,PAST_CREDIT_POLICY,RECERTIFY_IN_DAYS
0,Aerial Work Platform Practical - Articulating Boom 135 ft,V0,This certification qualifies workers to operate the 135ft Articulating Boom. Please note that Working at Heights Worker certification is required to be completed before beginning the Aerial Work Platform certification. ,CNL Global,1900-01-01,in effect,True,42,1,,,,,Main,Main,2,True,OSH-1003-Online,1.6,,1095.0,0.0,1095.0,1.0,90.0
1,Aerial Work Platform Practical - Articulating Boom 135 ft,V0,This certification qualifies workers to operate the 135ft Articulating Boom. Please note that Working at Heights Worker certification is required to be completed before beginning the Aerial Work Platform certification. ,CNL Global,1900-01-01,in effect,True,42,1,,,,,Main,Main,2,True,OSH-3003-A ,1.0,,1095.0,False,1095.0,1.0,90.0
2,Aerial Work Platform Practical - Articulating Boom 135 ft,V0,This certification qualifies workers to operate the 135ft Articulating Boom. Please note that Working at Heights Worker certification is required to be completed before beginning the Aerial Work Platform certification. ,CNL Global,1900-01-01,in effect,True,42,1,,,,,Recertification,Main,2,True,OSH-1003-Online,1.6,,1095.0,True,1095.0,1.0,90.0
3,Aerial Work Platform Practical - Articulating Boom 135 ft,V0,This certification qualifies workers to operate the 135ft Articulating Boom. Please note that Working at Heights Worker certification is required to be completed before beginning the Aerial Work Platform certification. ,CNL Global,1900-01-01,in effect,True,42,1,,,,,Recertification,Main,2,True,OSH-3003-A ,1.0,,1095.0,True,1095.0,1.0,90.0
4,Aerial Work Platform Practical - Articulating Boom 60 ft or Less,V0,This certification qualifies workers to operate the 60ft Articulating Boom. Please note that Working at Heights Worker certification is required to be completed before beginning the Aerial Work Platform certification. ,CNL Global,1900-01-01,in effect,True,42,1,,,,,Main,Main,2,True,OSH-1003-Online,1.6,,1095.0,False,1095.0,1.0,90.0
5,Aerial Work Platform Practical - Articulating Boom 60 ft or Less,V0,This certification qualifies workers to operate the 60ft Articulating Boom. Please note that Working at Heights Worker certification is required to be completed before beginning the Aerial Work Platform certification. ,CNL Global,1900-01-01,in effect,True,42,1,,,,,Main,Main,2,True,OSH-3003-B,1.0,,1095.0,False,1095.0,1.0,90.0
6,Aerial Work Platform Practical - Articulating Boom 60 ft or Less,V0,This certification qualifies workers to operate the 60ft Articulating Boom. Please note that Working at Heights Worker certification is required to be completed before beginning the Aerial Work Platform certification. ,CNL Global,1900-01-01,in effect,True,42,1,,,,,Recertification,Main,2,True,OSH-1003-Online,1.6,,1095.0,True,1095.0,1.0,90.0
7,Aerial Work Platform Practical - Articulating Boom 60 ft or Less,V0,This certification qualifies workers to operate the 60ft Articulating Boom. Please note that Working at Heights Worker certification is required to be completed before beginning the Aerial Work Platform certification. ,CNL Global,1900-01-01,in effect,True,42,1,,,,,Recertification,Main,2,True,OSH-3003-B,1.0,,1095.0,True,1095.0,1.0,90.0
