,Missing Learners
0,91925
1,CONT-678
2,CONT-3080
3,92177
4,92632
5,61011
6,90656
7,92514
8,92161
9,92429
10,92106
11,59109
12,91955
13,CONT-2854
14,CONT-3217
15,92447
16,2570
17,CONT-2601
18,CONT-3090
19,10735
20,92588
21,CONT-3215 
22,CONT-2929 
23,91377
24,92299
25,CONT-3086
26,90871
27,AE00025
28,59680
29,CONT-3087
30,57989
31,92043
32,61346
33,92388
34,91809
35,CONT-3037 
36,90550
37,58331
38,92203
39,92327
40,92023
41,92360
42,CONT-2728
43,92581
44,50874
45,92038
46,90402
47,CONT-3046
48,92009
49,53716
50,52686
51,61739
52,Seat 1
53,91956
54,92173
55,56799
56,20003
57,60888
58,91848
59,91886
60,CONT-2427
61,91911
62,91398
63,60400
64,92379
65,61072
66,91663
67,91816
68,CONT-2977
69,92036
70,CONT-3096
71,CONT-2860
72,91971
73,92159
74,CONT-2900
75,CONT-3000
76,92148
77,56544
78,CONT-2763 
79,54867
80,92586
81,92566
